channel_a,channel_b,puncta_id_a,puncta_id_b,match_mode,centroid_distance_um,voxel_overlap_fraction_min_object_pct,pixel_count_a,pixel_count_b,mean_intensity_a,max_intensity_a,mean_intensity_b,max_intensity_b,centroid_x_a_um,centroid_y_a_um,centroid_z_a_um,centroid_x_b_um,centroid_y_b_um,centroid_z_b_um,inside_mesh_flag_a,inside_mesh_flag_b,within_surface_threshold_flag_a,within_surface_threshold_flag_b
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),253,512,centroid_distance,1,,26,8,8247,14927,1,1,101,45,5,101,46,6,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),285,620,centroid_distance,1,,33,32,11237,22383,1,1,74,41,6,75,41,6,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2443,5690,centroid_distance,1,,209,34,9510,22511,1,1,57,92,15,58,92,15,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2275,5646,centroid_distance,1,,11,27,8283,12759,1,1,82,68,14,82,68,15,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2117,5408,centroid_distance,1,,6,27,8314,12111,1,1,80,68,13,81,68,14,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3409,7422,centroid_distance,1,,24,35,10081,23759,1,1,73,61,21,73,62,21,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3165,6980,centroid_distance,1,,5,10,8496,10415,1,1,76,84,19,76,84,18,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1049,3019,centroid_distance,1,,9,9,8091,11423,1,1,57,89,9,56,89,9,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),254,644,centroid_distance,1,,1,45,9583,9583,1,1,83,46,5,83,47,6,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),573,1626,centroid_distance,1,,3,4,12018,13775,1,1,79,43,7,78,43,8,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3008,7239,centroid_distance,1,,219,316,9407,31151,1,1,81,54,19,81,54,20,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),384,1219,centroid_distance,1,,1,3,6667,6667,1,1,75,68,6,75,68,7,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1578,4460,centroid_distance,1,,112,146,9701,17503,1,1,83,56,12,84,56,12,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3011,6711,centroid_distance,1,,9,8,9528,11999,1,1,81,57,18,82,57,17,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2115,5280,centroid_distance,1,,36,22,10110,13447,1,1,55,63,14,54,62,14,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),275,100,centroid_distance,1,,2,1944,9249,11271,1,1,75,27,6,74,26,6,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1536,4175,centroid_distance,1,,79,115,10736,21663,1,1,65,76,11,64,77,12,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2489,5783,centroid_distance,1,,129,1,9751,34239,1,1,43,77,15,43,77,15,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1619,4008,centroid_distance,1,,49,125,9174,16335,1,1,55,88,12,56,88,11,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2593,5828,centroid_distance,1,,213,111,10386,39519,1,1,62,50,16,62,50,15,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1998,4812,centroid_distance,1,,60,10,9409,17759,1,1,50,92,13,50,92,12,False,False,True,True
