cell_channel,protein_role,puncta_channel,puncta_id,pixel_count,mean_intensity,max_intensity,centroid_x_um,centroid_y_um,centroid_z_um,centroid_inside_cell_flag,overlap_fraction_in_cell_pct,surface_distance_um,inside_mesh_flag,within_surface_threshold_flag,display_threshold_pass_flag,classification
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1291,1,11991,11991,90,39,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1293,1,9303,9303,80,40,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1295,17,8033,11927,81,42,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1296,11,6731,8631,85,43,10,True,100,0,True,True,True,inside_mesh
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1297,51,8136,19599,103,43,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1298,22,10003,14751,74,43,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1299,17,9958,12639,72,46,10,False,18,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1300,7,9632,12119,59,46,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1301,141,10007,23407,58,47,11,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1302,11,8187,12399,99,47,10,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1303,42,8733,16991,57,47,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1304,32,9407,12983,67,48,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1305,243,9589,25215,66,49,11,False,8,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1306,4,13495,15071,67,51,10,False,0,0,False,True,True,surface_shell
Channel 1 mask,Protein 1,Mul(Channel 2)_xMask(Channel 2 mask),1307,36,12201,17631,68,51,11,False,28,0,False,True,True,surface_shell
